债务人名称|所在地区|担保方式|资产类型|债权总额（元）|结束时间
宜兴天冶物资有限公司|江苏省无锡市宜兴市|保证担保||8992761.09|2022-08-25
泰州市海陵区华宏交通器材厂|江苏省泰州市海陵区|保证担保||2000765.17|2023-08-17
无锡开普机械有限公司|江苏省无锡市锡山区|保证担保及抵质押担保|标准工业厂房及仓储|49127523.17|2022-08-25
无锡谦仁钢铁发展有限公司|江苏省无锡市惠山区|保证担保||11605284.19|2022-08-25
无锡开普动力有限公司|江苏省无锡市新吴区|保证担保及抵质押担保|矿山、冶金、建筑专用设备|31084356.17|2021-11-25
无锡丰弘金属材料有限公司|江苏省无锡市惠山区|保证担保||12445864.76|2022-08-25
江苏辰慧源工程技术有限公司|江苏省泰州市海陵区|保证担保||2304616.11|2023-08-17
无锡市国融物资有限公司|江苏省无锡市惠山区|保证担保||10557299.12|2022-08-25
江苏新耀商贸有限公司|江苏省泰州市海陵区|保证担保||2348441.31|2023-08-17
无锡隆启旺钢铁贸易有限公司|江苏省无锡市惠山区|保证担保||10556588.72|2022-08-25
无锡市润仕达物资有限公司|江苏省无锡市惠山区|保证担保||10550270.26|2022-08-25
无锡旺东物资贸易有限公司|江苏省无锡市惠山区|保证担保||6081444.38|2022-08-25
无锡申锡鑫不锈钢有限公司|江苏省无锡市梁溪区|保证担保||28222047.82|2023-08-17
无锡荣登物资发展有限公司|江苏省无锡市惠山区|保证担保||10555776.99|2022-08-25
无锡友君钢铁发展有限公司|江苏省无锡市惠山区|保证担保||10551226.86|2022-08-25
无锡建祺贸易有限公司|江苏省无锡市惠山区|保证担保||11264325.08|2022-08-25
无锡稳驰物资有限公司|江苏省无锡市惠山区|保证担保||10972477.67|2022-08-25
泰州宇宙精工焊接材料有限公司|江苏省泰州市海陵区|保证担保||13475028.91|2023-08-17
江苏长安建设集团有限公司|江苏省徐州市铜山区|保证担保及抵质押担保|宾馆酒店|170398260.71|2022-08-25
无锡富川钢铁有限公司|江苏省无锡市惠山区|保证担保||9274237.04|2022-08-25
泰州斯瑞医疗器械有限公司|江苏省泰州市海陵区|保证担保||2031016.78|2023-08-17
无锡川浩钢铁贸易有限公司|江苏省无锡市惠山区|保证担保||12713529.59|2022-08-25
徐州德客乐装饰用品有限公司|江苏省徐州市鼓楼区|保证担保及抵质押担保|商铺、商场|249982666.52|2022-10-25
泰州市双子塑料制品厂|江苏省泰州市海陵区|保证担保||11170331.41|2023-08-17
江苏动感鞋业有限公司|江苏省徐州市睢宁县|保证担保及抵质押担保|标准工业厂房及仓储|16179898.21|2022-08-25
泰州海洋能源有限公司|江苏省泰州市海陵区|保证担保||3611626.18|2023-08-17
无锡元本钢铁贸易有限公司|江苏省无锡市惠山区|保证担保||10972882.02|2022-08-25
无锡润良钢铁贸易有限公司|江苏省无锡市惠山区|保证担保||10526936.55|2022-08-25
无锡钰全物资贸易有限公司|江苏省无锡市惠山区|保证担保||11233354.6|2022-08-25
无锡龙首实业发展有限公司|江苏省无锡市惠山区|保证担保||10646967.27|2022-08-25
无锡旭和钢铁贸易有限公司|江苏省无锡市惠山区|保证担保||9911648.01|2022-08-25
无锡坤和贸易有限公司|江苏省无锡市惠山区|保证担保||11559697.93|2022-08-25
无锡嘉良钢铁贸易有限公司|江苏省无锡市惠山区|保证担保||9975140.2|2022-08-25
无锡腾富钢铁贸易有限公司|江苏省无锡市惠山区|保证担保||11401558.16|2022-08-25
无锡昊苏钢铁有限公司|江苏省无锡市惠山区|保证担保||10383382.16|2022-08-25
无锡明企不锈钢有限公司|江苏省无锡市梁溪区|保证担保||26501286.44|2023-08-17
无锡一诺钢铁有限公司|江苏省无锡市惠山区|保证担保||11643750.9|2022-08-25
溧阳市百方科贸有限公司|江苏省常州市溧阳市|保证担保及抵质押担保|宾馆酒店|46356141.36|2022-08-25
宜兴元川物资有限公司|江苏省无锡市宜兴市|保证担保||8992699.89|2022-08-25
溧阳蓝光能源科技有限公司|江苏省常州市溧阳市|保证担保及抵质押担保|宾馆酒店|74314579.62|2022-08-25
江苏紫罗兰机械设备有限公司|江苏省泰州市海陵区|保证担保||1120572.02|2023-08-17
无锡远泽钢铁有限公司|江苏省无锡市惠山区|保证担保||12410758.14|2022-08-25
泰州市圆梦纸箱包装有限公司|江苏省泰州市海陵区|保证担保||1647057.28|2023-08-17
溧阳市盛信物资有限公司|江苏省常州市溧阳市|保证担保及抵质押担保|宾馆酒店|50327940.54|2021-11-25
淮安广鑫贸易有限公司等35户债权|江苏省泰州市海陵区|保证担保及抵质押担保|非标准工业厂房及仓储|183794954.2|2023-08-17
无锡纳诚钢材有限公司|江苏省无锡市惠山区|保证担保||11706972.48|2021-08-25
无锡川旭钢铁有限公司|江苏省无锡市惠山区|保证担保||10366836.75|2022-08-25
无锡慧聪钢铁贸易有限公司|江苏省无锡市惠山区|保证担保||11511972.82|2022-08-25
江阴市昌顺钢材有限公司|江苏省无锡市江阴市|信用担保||61635605.79|2023-08-17
无锡骏升钢铁贸易有限公司|江苏省无锡市惠山区|保证担保||9441346.97|2022-08-25
泰州市万彩贸易有限公司|江苏省泰州市海陵区|保证担保||4507595.67|2023-08-17
江苏锐邦机电设备有限公司|江苏省泰州市海陵区|保证担保||18856910.3|2023-08-17
无锡力豪钢铁发展有限公司|江苏省无锡市惠山区|保证担保||9860403.29|2022-08-25
泰州市新科装饰设计工程有限公司|江苏省泰州市海陵区|保证担保||4947711.4|2023-08-17
泰州市聚丰建材有限公司|江苏省泰州市海陵区|保证担保及抵质押担保|商铺、商场|9072213.52|2022-08-25
无锡富鑫泰物资有限公司|江苏省无锡市惠山区|保证担保||8440981.15|2022-08-25
泰州市益飞食品有限公司|江苏省泰州市海陵区|保证担保||2082936.82|2023-08-17
泰州市钱隆新型建材有限公司|江苏省泰州市姜堰区|保证担保及抵质押担保|商铺、商场|10695077.77|2022-08-25
无锡闽凯顺物资有限公司|江苏省无锡市惠山区|保证担保||11608187.06|2022-08-25
江苏顺金建筑材料有限公司|江苏省泰州市海陵区|保证担保||2933185.7|2023-08-17
无锡志云钢铁贸易有限公司|江苏省无锡市惠山区|保证担保||8444859.7|2022-08-25
溧阳市银海物资有限公司|江苏省常州市溧阳市|保证担保及抵质押担保|宾馆酒店|78504748.77|2022-08-25
江苏乾景机电设备安装有限公司|江苏省泰州市海陵区|保证担保||3992535.99|2023-08-17
无锡润之临物资有限公司|江苏省无锡市惠山区|保证担保||12553649.6|2022-08-25
泰州市恒瑞运输有限公司|江苏省泰州市海陵区|保证担保||1639144.11|2023-08-17
江苏希格赛斯电气有限公司|江苏省镇江市扬中市|保证担保||15416998.24|2023-08-17
无锡厚圣广钢铁贸易有限公司|江苏省无锡市惠山区|保证担保||10425921.82|2022-08-25
无锡帅丰物资贸易有限公司|江苏省无锡市惠山区|保证担保||10298680.11|2022-08-25
江苏西门控电器有限公司|江苏省镇江市扬中市|保证担保||17845329.35|2023-08-17
无锡坤钢物资有限公司|江苏省无锡市惠山区|保证担保||10201143.19|2022-08-25
江苏新时空立体车库有限公司|江苏省徐州市铜山区|保证担保||3280927.06|2022-08-25
江苏先驱饲料科技有限公司|江苏省徐州市铜山区|保证担保||26576410.12|2022-08-25
江苏烨泰玻璃有限公司|江苏省宿迁市宿豫区|保证担保||12264383.73|2022-08-25
靖江市正午纺织品贸易有限公司|江苏省泰州市靖江市|保证担保及抵质押担保|标准工业厂房及仓储|10624572.84|2021-08-23
江苏宁航建筑工程有限公司|江苏省徐州市铜山区|保证担保||25139302.0|2022-08-25
江苏省润强商贸有限公司|江苏省徐州市新沂市|保证担保||20823213.54|2022-08-25
江苏天和电气有限公司|江苏省镇江市扬中市|保证担保||10442619.55|2023-08-17
江苏江动集团有限公司|江苏省盐城市亭湖区|保证担保及抵质押担保|非上市公司股权|410169994.91|2022-08-23
江苏中联物流股份有限公司|江苏省宿迁市宿豫区|保证担保||48939252.47|2022-08-25
江苏云飞电力科技有限公司|江苏省常州市武进区|保证担保||13119462.67|2022-08-25
丹阳市活力饰件有限公司|江苏省镇江市丹阳市|保证担保||7277149.56|2022-08-25
江苏乐意广告传媒有限公司|江苏省南通市崇川区|保证担保||681278.87|2022-08-25
南通川冶新能源发展有限公司|江苏省南通市港闸区|保证担保||13391184.96|2022-08-25
江苏恒宏汽车部件有限公司|江苏省镇江市丹阳市|保证担保||5193010.31|2022-08-25
南通市通州区新宇钢结构有限公司|江苏省南通市通州区|保证担保||8012871.15|2022-08-25
丹阳市新祥宇汽配有限公司|江苏省镇江市丹阳市|保证担保||4960386.28|2022-08-25
江苏众威汽车部件有限公司|江苏省镇江市丹阳市|保证担保||3307623.44|2022-08-25
南通九环实业有限公司|江苏省南通市通州区|保证担保||13766820.3|2022-08-25
丹阳欧国立车业有限公司|江苏省镇江市丹阳市|保证担保||8506275.61|2022-08-25
丹阳耀佳机械有限公司|江苏省镇江市丹阳市|保证担保||5095008.01|2022-08-25
江苏省鼎鑫食品有限公司|江苏省徐州市邳州市|保证担保||8851554.17|2022-08-25
江苏奥盛电器有限公司|江苏省镇江市丹阳市|保证担保||5877860.96|2022-08-25
丹阳市强马汽车附件有限公司|江苏省镇江市丹阳市|保证担保||3975730.62|2022-08-25
邳州市电力燃料有限公司|江苏省徐州市邳州市|保证担保||4922676.33|2022-08-25
常州金世达新颖建材有限公司|江苏省常州市武进区|保证担保||12378905.02|2022-08-25
丹阳新鸿霞汽配有限公司|江苏省镇江市丹阳市|保证担保||5587060.06|2022-08-25
靖江腾丰贸易有限公司|江苏省泰州市靖江市|保证担保及抵质押担保|车位、车库等其他商业用房|10607570.66|2022-08-23
常州耀骏物资有限公司|江苏省常州市新北区|保证担保||1267839.94|2022-08-25
江苏三联特种钢丝有限公司|江苏省常州市武进区|保证担保||17674295.12|2022-08-25
丹阳市浩源车业有限公司|江苏省镇江市丹阳市|保证担保||6160698.14|2022-08-25
江苏京杭国际大酒店有限公司|江苏省镇江市丹阳市|保证担保及抵质押担保|商铺、商场|34629924.96|2023-08-23
丹阳市日晟车辆配件厂|江苏省镇江市丹阳市|保证担保||2465342.96|2022-08-25
丹阳开琳家居有限公司|江苏省镇江市丹阳市|保证担保及抵质押担保|商铺、商场|41364537.33|2022-08-22
常州恐龙变压器制造有限公司|江苏省常州市新北区|保证担保||7030561.58|2022-08-25
镇江大成重工机械有限公司|江苏省镇江市|保证担保及抵质押担保|宾馆酒店|14813793.43|2022-08-22
丹阳市金富来旅游用品有限公司|江苏省镇江市丹阳市|保证担保||3730538.5|2022-08-25
江苏长三角精细化工有限公司|江苏省镇江市丹徒区|保证担保及抵质押担保|非标准工业厂房及仓储|85189623.4|2022-08-23
盐城华驰车业有限公司|江苏省盐城市|保证担保及抵质押担保|商铺、商场|9117270.17|2022-08-22
丹阳市春丹汽车配件有限公司|江苏省镇江市丹阳市|保证担保||3292450.25|2022-08-25
丹阳市法莱尔服饰有限公司|江苏省镇江市丹阳市|保证担保及抵质押担保|商铺、商场|21344695.28|2023-08-23
常州市美耐美装饰材料有限公司|江苏省常州市武进区|保证担保||9819738.51|2022-08-25
江苏禾创电子有限公司|江苏省南京市浦口区|保证担保及抵质押担保|商铺、商场|23483967.61|2022-08-23
常州通必达电气有限公司|江苏省常州市武进区|保证担保||11872565.06|2022-08-25
中海先锋化工（泰兴）有限公司|江苏省泰州市泰兴市|保证担保及抵质押担保|标准工业厂房及仓储|44532627.66|2022-08-22
江苏新丰电子有限公司|江苏省镇江市丹阳市|保证担保||11872498.54|2022-08-25
江苏森源无纺滤料有限公司|江苏省盐城市阜宁县|保证担保及抵质押担保|标准工业厂房及仓储|5492699.83|2022-08-22
常州奇盛自动化设备有限公司|江苏省常州市钟楼区|保证担保||13523947.34|2022-08-25
江苏康华电气设备有限公司|江苏省镇江市扬中市|保证担保||16304277.45|2023-08-17
江苏德泰电子科技有限公司|江苏省镇江市丹阳市|保证担保及抵质押担保|非标准工业厂房及仓储|10305698.2|2023-08-23
江苏金绿丰种业有限公司|江苏省盐城市建湖县|保证担保及抵质押担保|宾馆酒店|7321842.42|2022-08-22
丹阳市鑫棉家纺有限公司|江苏省镇江市丹阳市|保证担保||6083590.9|2022-08-25
江苏省辉腾化工有限公司|江苏省镇江市丹阳市|保证担保||10295520.4|2022-08-25
江苏禾创怡美嘉家居系统集成有限公司|江苏省南京市浦口区|保证担保及抵质押担保|商铺、商场|28989371.51|2022-08-23
丹阳翰宸车辆部件有限公司|江苏省镇江市丹阳市|保证担保||6138672.54|2021-08-25
江阴市融德经贸有限公司|江苏省无锡市江阴市|保证担保及抵质押担保|商铺、商场|48101772.34|2023-08-17
昆山宝岛老街文化旅游有限公司|江苏省苏州市昆山市|抵质押担保|商铺、商场|4767703.96|2022-08-23
江阴宇泽纱业有限公司|江苏省无锡市江阴市|保证担保||17679693.72|2022-08-25
南通华臣建筑装璜工程有限公司|江苏省南通市启东市|三种担保都有|商铺、商场|55423078.5|2023-08-23
丹阳市佳丰汽配有限公司|江苏省镇江市丹阳市|保证担保||6296492.42|2022-08-25
盐城市亭湖区承雨电子科技有限公司|江苏省盐城市亭湖区|三种担保都有|商铺、商场|10210790.66|2022-08-22
江苏华鹏电缆股份有限公司|江苏省镇江市扬中市|保证担保||17801023.52|2023-08-17
盐城市恒丰棉业有限公司|江苏省盐城市亭湖区|保证担保及抵质押担保|非标准工业厂房及仓储|2434859.42|2022-08-22
兴化市兴桂锌品实业有限公司|江苏省泰州市兴化市|保证担保及抵质押担保|商铺、商场|3496474.0|2022-08-22
江苏天和汽配有限公司|江苏省镇江市丹阳市|保证担保||10731350.08|2022-08-25
南通昌裕商贸有限公司|江苏省南通市启东市|三种担保都有|标准工业厂房及仓储|9514512.43|2023-08-23
江阴市诺科科技有限公司|江苏省无锡市江阴市|保证担保||16943650.1|2022-08-25
启东市东阳建筑安装工程有限公司|江苏省南通市启东市|三种担保都有|商铺、商场|26086700.2|2023-08-23
江苏超跃化学有限公司|江苏省镇江市丹阳市|保证担保||47582781.11|2023-08-17
兴化市临源经贸有限责任公司|江苏省泰州市兴化市|保证担保及抵质押担保|商铺、商场|8927983.32|2022-08-22
江苏春晖乳业有限公司|江苏省常州市天宁区|保证担保||8126227.75|2023-08-17
甲乙（连云港）粘胶有限公司|江苏省连云港市|抵质押担保|标准工业厂房及仓储|18625260.08|2022-08-22
丹阳市三志车辆部件有限公司|江苏省镇江市丹阳市|保证担保||6228126.55|2022-08-25
南通海洲建设集团有限公司|江苏省南通市海安市|三种担保都有|商铺、商场|89302272.59|2023-08-23
江苏华东机房集团有限公司|江苏省常州市天宁区|保证担保||6883856.23|2023-08-17
徐州奥斯维德企业管理有限公司|江苏省徐州市邳州市|保证担保及抵质押担保|宾馆酒店|5775092.43|2022-08-22
丹阳市华琪汽车内饰件厂|江苏省镇江市丹阳市|保证担保||5029903.68|2022-08-25
扬州市新纪元物资有限公司|江苏省扬州市高邮市|保证担保及抵质押担保|宾馆酒店|13059313.14|2023-08-23
江苏昌盛电缆集团有限公司（现更名为江苏新互盛电缆有限公司）|江苏省常州市天宁区|保证担保||26553391.22|2023-08-17
江苏中瑾投资发展有限公司|江苏省南通市崇川区|三种担保都有|别墅,普通商品用房|43539835.45|2023-08-23
江阴鼎龙科技有限公司|江苏省无锡市江阴市|保证担保||29141253.82|2022-08-25
泗洪县沃尔德工贸有限公司|江苏省宿迁市泗洪县|保证担保及抵质押担保|商铺、商场|10764764.64|2022-08-22
江苏中蓝汽车科技有限公司|江苏省镇江市丹阳市|保证担保||5176497.95|2022-08-25
江苏诚信空调设备有限公司|江苏省镇江市京口区|三种担保都有|宾馆酒店|35834589.08|2023-08-23
江苏京泰建设工程有限公司|江苏省泰州市兴化市|保证担保及抵质押担保|宾馆酒店,非标准工业厂房及仓储|10786640.05|2023-08-23
丹阳市京江汽车饰件有限公司|江苏省镇江市丹阳市|保证担保||5480187.95|2022-08-25
镇江太和商业有限公司|江苏省镇江市|保证担保及抵质押担保|商铺、商场|34525371.47|2022-08-22
明岐铝轮毂仪征有限公司|江苏省扬州市仪征市|三种担保都有|普通商品用房|65581983.26|2023-08-23
常州市南龙金属制品有限公司|江苏省常州市天宁区|保证担保||15185828.07|2023-08-17
镇江威亚达合金制品有限公司|江苏省镇江市扬中市|三种担保都有|普通商品用房|3367757.62|2022-08-22
江阴市蓝天金属制品有限公司|江苏省无锡市江阴市|保证担保||29207574.53|2022-08-25
扬州美达企业管理有限公司|江苏省扬州市广陵区|三种担保都有|宾馆酒店,公寓式办公楼|75214680.22|2023-08-23
常州市同兴钢管有限公司|江苏省常州市天宁区|保证担保||10745333.59|2023-08-17
泰州金太阳汽车贸易有限公司|江苏省泰州市海陵区|三种担保都有|车位、车库等其他商业用房|27222304.14|2023-08-23
江阴市南洲铝业有限公司|江苏省无锡市江阴市|保证担保||11873012.06|2022-08-25
无锡上众汽车销售服务有限公司|江苏省无锡市锡山区|保证担保||6060487.56|2022-08-25
丹阳市苏中实业有限公司|江苏省镇江市丹阳市|三种担保都有|商铺、商场|81981127.11|2022-08-22
泰州市盛杭物资有限公司|江苏省泰州市海陵区|保证担保及抵质押担保|宾馆酒店|14081306.18|2023-08-23
镇江润宸电器有限公司|江苏省镇江市扬中市|抵质押担保|商铺、商场|25531241.81|2022-08-22
江苏徽海能源发展有限公司|江苏省南京市高淳区|保证担保||14477084.86|2022-08-25
江苏恒丰芦荟亮健酒业有限公司|江苏省徐州市|三种担保都有|宾馆酒店|28270749.79|2022-08-22
常州市创华塑胶有限公司|江苏省常州市天宁区|保证担保||11137281.99|2023-08-17
徐州沪钢钢材城有限公司|江苏省徐州市|保证担保及抵质押担保|居住用地|17713891.72|2022-08-22
常州市铭锦弹簧有限公司|江苏省常州市天宁区|保证担保||11651500.19|2023-08-17
涟水县大润发经营管理有限公司|江苏省淮安市涟水县|三种担保都有|商铺、商场|10249693.93|2023-08-23
连云港金亚木业有限公司|江苏省连云港市|三种担保都有|宾馆酒店,工业用地|46199551.8|2022-08-22
南京轩亮工贸有限公司|江苏省南京市秦淮区|保证担保||889747.92|2023-08-17
涟水宾馆|江苏省淮安市涟水县|三种担保都有|宾馆酒店,多层办公楼|14905544.04|2023-08-23
丹阳市美利达塑业有限公司|江苏省镇江市丹阳市|保证担保||6274749.49|2022-08-25
连云港秦华煤业有限公司|江苏省连云港市|三种担保都有|商铺、商场|8286886.19|2022-08-22
江苏东联电缆有限公司|江苏省淮安市金湖县|三种担保都有|标准工业厂房及仓储|12467454.17|2022-08-22
南京柏银建材有限公司|江苏省南京市秦淮区|保证担保||15945083.21|2023-08-17
淮安沪中粮油工储有限公司|江苏省淮安市洪泽区|三种担保都有|标准工业厂房及仓储|15217841.38|2023-08-23
丹阳市轩昌汽配有限公司|江苏省镇江市丹阳市|保证担保||4225006.84|2022-08-25
江苏朗颢化工有限公司|江苏省常州市新北区|保证担保||13651997.57|2022-08-25
丹阳浩远电子有限公司|江苏省镇江市丹阳市|保证担保||1669690.33|2022-08-25
江苏中润光学眼镜有限公司|江苏省镇江市丹阳市|保证担保||19531753.36|2023-08-17
徐州徐腾木业有限公司|江苏省徐州市邳州市|保证担保及抵质押担保|非标准工业厂房及仓储|4162189.96|2022-08-22
江苏欣隆羽绒有限公司|江苏省镇江市丹阳市|保证担保||32147988.68|2023-08-17
江苏华大海洋产业集团股份有限公司|江苏省盐城市东台市|保证担保及抵质押担保|宾馆酒店|34608608.63|2022-08-20
江苏宝利嘉纺织有限公司|江苏省淮安市洪泽区|保证担保及抵质押担保|标准工业厂房及仓储|111070655.8|2022-08-20
中汽联合汽车零部件连锁有限公司|江苏省苏州市昆山市|保证担保||113358117.08|2022-08-20
江阴福斯特纺织有限公司|江苏省无锡市江阴市|保证担保||75253639.51|2022-08-25
南通首控石化有限公司|江苏省南通市如皋市|保证担保||12868403.3|2022-08-25
南通盈晖石油化工有限公司|江苏省南通市崇川区|保证担保||100367776.7|2022-08-25
江苏东大商贸集团有限公司|江苏省南通市通州区|保证担保及抵质押担保|商铺、商场|19601407.79|2022-08-22
无锡皓昆实业有限公司|江苏省无锡市惠山区|保证担保及抵质押担保|商铺、商场|6635300.35|2021-11-25
大连深蓝汽车销售服务有限公司|辽宁省大连市金州区|三种担保都有|车位、车库等其他商业用房|64794285.26|2023-08-23
无锡天冀金属材料有限公司|江苏省无锡市惠山区|保证担保及抵质押担保|商铺、商场|9262600.98|2021-11-25
无锡群岳钢铁有限公司|江苏省无锡市惠山区|保证担保及抵质押担保|商铺、商场|16271281.8|2021-11-25
连云港市翰林数码科技有限公司|江苏省连云港市|保证担保及抵质押担保|商铺、商场|12155385.84|2022-08-22
无锡健壮钢铁有限公司|江苏省无锡市惠山区|保证担保及抵质押担保|商铺、商场|8083118.5|2021-11-25
无锡创可物资有限公司|江苏省无锡市惠山区|保证担保及抵质押担保|商铺、商场|13829778.03|2021-11-25
无锡登浦钢铁贸易有限公司|江苏省无锡市惠山区|保证担保及抵质押担保|商铺、商场|17288846.54|2021-11-25
徐州华丰纺织有限公司|江苏省徐州市睢宁县|保证担保及抵质押担保|工业用地|11045341.65|2022-08-22
无锡旭红钢铁有限公司|江苏省无锡市惠山区|保证担保及抵质押担保|商铺、商场|14109475.44|2021-11-25
镇江和祥商业管理有限公司|江苏省镇江市丹阳市|保证担保及抵质押担保|商铺、商场|81078606.83|2021-11-25
扬州金通汽车销售服务有限公司|江苏省扬州市广陵区|三种担保都有|商业用地|8483823.56|2023-08-23
江苏金澳汽车销售服务有限公司|江苏省扬州市广陵区|三种担保都有|车位、车库等其他商业用房|14647009.5|2024-08-23
江阴市齐力钢铁贸易有限公司|江苏省无锡市江阴市|保证担保及抵质押担保|商铺、商场|19665687.16|2021-11-25
江苏金三丫寝品有限公司|江苏省镇江市丹阳市|三种担保都有|商铺、商场|9499463.71|2022-08-22
江苏金太阳汽车销售服务有限公司|江苏省扬州市|三种担保都有|车位、车库等其他商业用房,商铺、商场|37288527.3|2023-08-23
无锡晟金物资有限公司|江苏省无锡市惠山区|保证担保及抵质押担保|商铺、商场|30707303.19|2021-11-25
江苏华大海洋产业集团股份有限公司|江苏省盐城市东台市|三种担保都有|标准工业厂房及仓储|36836258.65|2022-08-22
丹阳市玮麒车业有限公司|江苏省镇江市丹阳市|保证担保||6589663.26|2022-08-25
常州龙源港机重工集团有限公司|江苏省常州市天宁区|保证担保||44710900.0|2023-08-17
丹阳盛吉瑞汽车配件有限公司|江苏省镇江市丹阳市|保证担保||22907662.06|2022-08-25
溧阳远航电梯有限公司|江苏省常州市溧阳市|保证担保||9340949.94|2022-08-25
丹阳市平达包装厂|江苏省镇江市丹阳市|保证担保||18326378.71|2022-08-25
江苏东洋机械有限公司|江苏省盐城市建湖县|三种担保都有|标准工业厂房及仓储,农、林、牧、渔专用机械|14925513.99|2023-08-23
苏州工业园区东吴工贸有限公司|江苏省苏州市吴中区|保证担保||3936656.62|2022-08-23
常熟天铭国际大酒店有限公司|江苏省苏州市常熟市|保证担保及抵质押担保|宾馆酒店|583189739.71|2022-08-20
徐州朝阳集团有限责任公司|江苏省徐州市|保证担保及抵质押担保|商铺、商场|31273605.8|2022-08-22
江苏卫吉实业有限公司|江苏省苏州市张家港市|保证担保及抵质押担保|商铺、商场|68158977.96|2022-08-20
徐州神农纺织有限公司|江苏省徐州市睢宁县|保证担保及抵质押担保|普通商品用房,原材料、半成品|5532696.22|2022-08-22
苏州工业园区大地景观工程有限公司|江苏省苏州市吴中区|保证担保及抵质押担保|宾馆酒店|36977533.06|2022-08-20
江苏克罗德科技有限公司|江苏省苏州市常熟市|保证担保及抵质押担保|高层办公楼|362660693.03|2022-08-20
盐城市百宏贸易有限公司|江苏省盐城市亭湖区|三种担保都有|商业用地|23940239.44|2023-08-23
昆山市李记农副产品有限公司|江苏省苏州市昆山市|保证担保及抵质押担保|公寓式办公楼|4451404.87|2022-08-20
江苏华江贸易有限公司|江苏省南京市秦淮区|保证担保||29289700.0|2023-08-17
淮安市银通商贸有限公司|江苏省淮安市淮安区|保证担保||22165202.91|2022-08-25
江苏黄埔智能科技有限公司|江苏省南京市秦淮区|保证担保||29576900.0|2023-08-17
江苏康沃动力科技股份有限公司|江苏省苏州市昆山市|保证担保及抵质押担保|标准工业厂房及仓储|75761287.42|2021-12-31
扬州江阳商贸城经营管理有限公司|江苏省扬州市|信用担保及抵质押担保|宾馆酒店|13154589.18|2023-08-23
昆山市南北贸易有限责任公司|江苏省苏州市昆山市|保证担保及抵质押担保|商铺、商场|9336314.59|2022-08-20
滁州市金达石油有限公司|安徽省滁州市南谯区|保证担保及抵质押担保|非标准工业厂房及仓储|79335648.79|2022-08-23
宝应县天元大酒店有限公司|江苏省扬州市宝应县|三种担保都有|宾馆酒店|15379111.43|2023-08-23
悦孚能源有限公司|江苏省南京市栖霞区|保证担保及抵质押担保|非标准工业厂房及仓储|286920459.48|2022-08-23
靖江市申特贸易有限公司|江苏省泰州市靖江市|保证担保及抵质押担保|商铺、商场|22964630.98|2023-08-23
南京蓝燕石化储运实业有限公司|江苏省南京市栖霞区|保证担保及抵质押担保|非标准工业厂房及仓储|258494239.26|2022-08-23
徐州宝德乐新材料科技有限公司|江苏省徐州市|三种担保都有|宾馆酒店|21129266.07|2022-08-22
江苏江浦经济贸易有限公司|江苏省南京市浦口区|保证担保及抵质押担保|非上市公司股权|104317088.25|2022-08-23
江苏博翔石油化工有限公司|江苏省南京市栖霞区|保证担保及抵质押担保|非上市公司股权|70617009.64|2022-08-23
江苏金翔石油化工有限公司|江苏省南京市栖霞区|保证担保及抵质押担保|非上市公司股权|257152409.35|2022-08-23
江苏德科门业有限公司|江苏省徐州市|保证担保及抵质押担保|商铺、商场|18744820.65|2022-08-22
江苏贝德铭建设集团有限公司|江苏省徐州市|保证担保及抵质押担保|商铺、商场|20203264.06|2022-08-22
靖江市恒远经贸有限公司|江苏省泰州市靖江市|保证担保||23785683.09|2022-08-25
溧阳市华鹰物资贸易有限公司|江苏省常州市溧阳市|保证担保||15816580.65|2022-08-25
江苏国中医药有限公司|江苏省南京市秦淮区|保证担保||33285200.0|2023-08-17
溧阳市昆仑热电有限公司|江苏省常州市溧阳市|保证担保||82993995.63|2022-08-25
南京名庄荟商贸连锁有限公司|江苏省南京市秦淮区|保证担保||8488300.0|2023-08-17
河海科技工程集团有限公司|江苏省泰州市泰兴市|保证担保||82154241.09|2022-08-25
丹阳市星达有限责任公司|江苏省镇江市丹阳市|保证担保||6235958.37|2022-10-25
苏州东展羽绒服饰有限公司|江苏省苏州市吴江区|保证担保及抵质押担保|标准工业厂房及仓储|18797264.02|2022-08-20
江苏映耀环保科技有限公司|江苏省盐城市阜宁县|保证担保及抵质押担保|标准工业厂房及仓储|5809709.88|2022-08-23
东群织造（苏州）有限公司|江苏省苏州市吴江区|保证担保及抵质押担保|标准工业厂房及仓储|64786215.11|2022-08-20
张家港保税区兴望国际贸易有限公司|江苏省苏州市张家港市|保证担保及抵质押担保|宾馆酒店|138566569.87|2022-08-20
南京进亨建设有限公司|江苏省南京市江宁区|保证担保及抵质押担保|商铺、商场|29837513.38|2022-08-24
苏州道格拉斯纺织有限公司|江苏省苏州市吴江区|保证担保及抵质押担保|标准工业厂房及仓储|49397318.98|2022-08-20
南京苏兴商贸有限公司|江苏省南京市江宁区|保证担保及抵质押担保|商铺、商场|19931934.8|2022-08-23
苏州万亚商业管理发展有限公司|江苏省苏州市吴江区|保证担保及抵质押担保|标准工业厂房及仓储|18304477.05|2022-08-20
吴江市永存利纺织有限公司|江苏省苏州市吴江区|保证担保||9504555.42|2022-08-20
江苏新锐进出口贸易股份有限公司|江苏省镇江市丹阳市|三种担保都有|商铺、商场|30092537.58|2023-08-23
苏州顶智特种纤维科技有限公司|江苏省苏州市吴江区|保证担保||15760716.06|2022-08-20
