债务人名称|所在地区|担保方式|资产类型|债权总额（元）|结束时间
汕头市磊峰投资有限公司|广东省汕头市龙湖区|保证担保及抵质押担保|综合用地|1098779316.25|2021-12-31
广州市佳乐房地产开发有限公司、广州市悦翔物业管理有限公司|广东省广州市番禺区|抵质押担保|非标准工业厂房及仓储,公寓式办公楼,商铺、商场|377391639.74|2021-12-31
汕头市宜华投资控股有限公司|广东省汕头市澄海区|保证担保及抵质押担保|别墅,商铺、商场|964869894.66|2021-12-31
宁夏神州轮胎有限公司|宁夏回族自治区石嘴山市平罗县|保证担保及抵质押担保|化工、木材、非金属加工专用设备|100781256.85|2026-12-30
湖南天沅化工有限责任公司|湖南省郴州市宜章县|保证担保及抵质押担保|非标准工业厂房及仓储,化工、木材、非金属加工专用设备|148313838.58|2021-12-31
宁夏神州轮胎有限公司|宁夏回族自治区石嘴山市平罗县|保证担保及抵质押担保|化工、木材、非金属加工专用设备|149940233.33|2026-12-30
宁夏大地循环发展股份有限公司|宁夏回族自治区石嘴山市平罗县|保证担保及抵质押担保|化工、木材、非金属加工专用设备|53550083.33|2026-12-30
德泓国际绒业股份有限公司|宁夏回族自治区银川市金凤区|保证担保及抵质押担保|非上市公司股权|155908356.5|2022-12-31
德泓国际绒业股份有限公司|宁夏回族自治区银川市金凤区|信用担保及保证担保||83908635.09|2022-12-31
深圳市粤信创意文化有限公司、深圳市华美嘉酒店管理股份有限公司|广东省深圳市龙岗区|三种担保都有|非标准工业厂房及仓储|589000000.0|2021-12-31
宁夏远高实业集团有限公司|宁夏回族自治区银川市贺兰县|保证担保及抵质押担保|非上市公司股权,金属加工机械,商铺、商场|50276100.76|2026-12-30
宁夏大地循环发展股份有限公司|宁夏回族自治区石嘴山市平罗县|保证担保及抵质押担保|化工、木材、非金属加工专用设备|277175231.34|2026-12-30
宁夏大地循环发展股份有限公司|宁夏回族自治区石嘴山市平罗县|保证担保及抵质押担保|化工、木材、非金属加工专用设备|259182403.33|2026-12-30
东方鼎盛地产发展有限公司、海南阳光美基投资开发有限公司|河南省郑州市金水区|保证担保及抵质押担保|高层办公楼|108660000.0|2023-12-31
漯河市鎏源置业有限公司 |河南省漯河市郾城区|保证担保及抵质押担保|居住用地,商铺、商场|223030965.55|2022-08-20
恩平市锦江明珠房地产有限公司|广东省江门市恩平市|保证担保及抵质押担保|普通商品用房|76729521.0|2021-09-30
深圳市卡尼珠宝首饰有限公司|广东省深圳市罗湖区|保证担保及抵质押担保|商铺、商场|321365982.49|2021-12-31
山东万顺石化有限公司|山东省淄博市临淄区|保证担保及抵质押担保|通用零部件制造设备|5642180.62|2022-08-31
上海明吾贸易有限公司、来安县腾飞置业有限公司（破产）|上海市|保证担保及抵质押担保|非上市公司股权,商铺、商场,综合用房在建工程|520360812.61|2022-12-31
张掖市博瑞脱水蔬菜有限责任公司|甘肃省张掖市甘州区|抵质押担保|标准工业厂房及仓储,工业用地,食品、饮料、烟草及饲料生产专用设备|26120387.5|2022-12-31
文山三鑫矿业有限公司|云南省文山壮族苗族自治州文山市|三种担保都有|商铺、商场|331753411.61|2021-12-31
云南泰安建设工程有限公司|云南省文山壮族苗族自治州文山市|三种担保都有|商铺、商场|199576231.43|2021-12-31
浙江永宝珍珠有限公司|浙江省绍兴市诸暨市|保证担保及抵质押担保|商铺、商场|15812258.9|2022-08-23
浙江佳艺袜业有限公司|浙江省绍兴市诸暨市|保证担保及抵质押担保|标准工业厂房及仓储|5076003.74|2022-08-23
杭州康鼎实业有限公司|浙江省杭州市萧山区|保证担保及抵质押担保|商铺、商场|18200500.0|2022-09-01
浙江圣大建设集团有限公司|浙江省杭州市萧山区|保证担保及抵质押担保|商铺、商场|78977302.96|2022-08-23
河北坤辉金属线网有限公司|河北省衡水市饶阳县|保证担保及抵质押担保|非上市公司股权,化工、木材、非金属加工专用设备|227937130.99|2026-12-30
宁夏神州轮胎有限公司|宁夏回族自治区石嘴山市平罗县|保证担保及抵质押担保|非上市公司股权,化工、木材、非金属加工专用设备|298809465.0|2026-12-30
富民鼎龙凯易房地产开发有限公司|云南省昆明市富民县|保证担保及抵质押担保|别墅,宾馆酒店,车位、车库等其他商业用房,公寓式办公楼,居住用地,普通商品用房,商铺、商场|97567366.67|2022-09-30
富民鼎龙凯易房地产开发有限公司|云南省昆明市五华区|保证担保及抵质押担保|宾馆酒店,车位、车库等其他办公用房,车位、车库等其他商业用房,高档公寓,公寓式办公楼,居住用地,普通商品用房,商铺、商场|175021200.0|2022-09-30
云南山灞图像传输科技有限公司|云南省昆明市五华区|保证担保及抵质押担保|非标准工业厂房及仓储|350099870.83|2022-09-30
富民鼎龙凯易房地产开发有限公司|云南省昆明市富民县|保证担保及抵质押担保|宾馆酒店,车位、车库等其他商业用房,公寓式办公楼,居住用地|246375000.0|2022-09-30
浙江高卢贸易有限公司|浙江省温州市鹿城区|保证担保||15968392.27|2022-09-03
安顺市西秀区城镇投资发展有限公司|贵州省安顺市西秀区|保证担保及抵质押担保|商业用房在建工程|253399421.17|2021-12-31
遵义浙商房地产开发有限公司|贵州省遵义市汇川区|保证担保及抵质押担保|居住用房在建工程,商业用房在建工程|936202550.0|2022-08-30
曲靖雄业房地产开发有限公司|云南省曲靖市麒麟区|三种担保都有|非上市公司股权,商铺、商场|228689799.54|2022-08-30
贵州南长城企业(集团)房地产开发有限公司|贵州省铜仁市碧江区|三种担保都有|非上市公司股权,商铺、商场|629821901.5|2022-08-30
贵阳三力房地产开发有限责任公司|贵州省贵阳市云岩区|保证担保及抵质押担保|别墅,车位、车库等其他商业用房,高档公寓,普通商品用房,商铺、商场|100324766.67|2022-08-30
贵州睿力房地产开发有限公司|贵州省贵阳市观山湖区|保证担保及抵质押担保|居住用房在建工程|118028857.71|2022-08-30
松原市联华石油开发有限责任公司、天津科亨置业投资有限公司|天津市武清区|保证担保及抵质押担保|别墅,非上市公司股权,居住用地|332076552.92|2021-12-31
牡丹江昌健装饰设计有限公司、牡丹江大福源酒店有限责任公司、牡丹江市宝丰建筑装饰材料市场、牡丹江市时尚购物广场、牡丹江新北龙大市场有限责任公司、牡丹江奥特莱斯地下步行街商城有限公司|黑龙江省牡丹江市西安区|三种担保都有|非上市公司股权,居住用地|320225800.0|2022-09-30
大庆市富嘉诚房地产开发有限公司 |黑龙江省大庆市萨尔图区|保证担保及抵质押担保|普通商品用房|45560800.0|2022-09-30
哈尔滨市诚信房地产开发有限公司|黑龙江省哈尔滨市阿城区|保证担保及抵质押担保|商铺、商场|47500000.0|2022-09-30
牡丹江远东大厦商务有限公司|黑龙江省牡丹江市东安区|三种担保都有|非上市公司股权,居住用地,商铺、商场|55460050.0|2022-09-30
兰州强盛物资贸易有限公司|甘肃省兰州市皋兰县|保证担保及抵质押担保|非标准工业厂房及仓储,矿山、冶金、建筑专用设备|92553327.1|2022-08-31
甘肃新天际钢铁热轧有限公司|甘肃省白银市白银区|保证担保及抵质押担保|非标准工业厂房及仓储,矿山、冶金、建筑专用设备|81655256.09|2022-08-31
云南龙逸房地产开发有限公司|云南省昆明市官渡区|保证担保及抵质押担保|居住用地|74127840.34|2023-08-23
广东贤丰控股有限公司|广东省东莞市市辖区|三种担保都有|上市公司流通A股股票（权）|3430478726.81|2022-12-31
鼎立控股集团股份有限公司|浙江省金华市东阳市|保证担保及抵质押担保|上市公司流通A股股票（权）|252444444.44|2022-02-28
鼎立控股集团股份有限公司|浙江省金华市东阳市|保证担保及抵质押担保|宾馆酒店,非上市公司股权|305133333.33|2022-02-28
鼎立控股集团股份有限公司|浙江省金华市东阳市|保证担保及抵质押担保|上市公司流通A股股票（权）|346353777.78|2022-02-28
甘肃鑫中天能源科技有限公司|甘肃省兰州市西固区|保证担保及抵质押担保|商铺、商场|39855643.2|2022-09-30
甘肃鑫中天工贸集团有限公司|甘肃省兰州市西固区|保证担保及抵质押担保|商铺、商场|83544650.0|2021-12-31
兰州星泉电子科技有限公司|甘肃省兰州市城关区|保证担保及抵质押担保|普通商品用房|2732278.89|2021-09-30
天津市邦柱贸易有限责任公司|天津市北辰区|保证担保及抵质押担保|非上市公司股权|399104980.92|2022-08-31
天津聚龙嘉华投资集团有限公司|天津市北辰区|保证担保及抵质押担保|标准工业厂房及仓储,商品林中的林木及林地使用权,食品、饮料、烟草及饲料生产专用设备|820811545.05|2022-08-31
天津龙威粮油工业有限公司|天津市滨海新区|保证担保||79544211.9|2022-08-31
天津市邦柱贸易有限责任公司|天津市北辰区|保证担保及抵质押担保|高层办公楼|261980826.08|2022-08-31
南昌腾达彩印有限公司|江西省南昌市青山湖区|保证担保||73182691.24|2022-09-01
